Impact_70	Delay_70	Impact_80	Delay_80	Delay_75	Impact_75	Delay_85	Impact_85	Delay_90	Impact_90	Delay_95	Impact_95
0.001	0.1	0.005	30	30	0.002	30	0.009	30	0.013	30	0.019
0.002	0.1	0.005	30	30	0.002	30	0.009	30	0.013	30	0.019
0.003	0.1	0.005	30	22.4	0.003	30	0.009	30	0.013	30	0.019
0.004	0.1	0.005	30	17.1	0.004	30	0.009	30	0.013	30	0.019
0.005	0.1	0.005	30	13.9	0.005	30	0.009	30	0.013	30	0.019
0.006	0.1	0.006	29.2	11.7	0.006	30	0.009	30	0.013	30	0.019
0.007	0.1	0.007	24.4	10.1	0.007	30	0.009	30	0.013	30	0.019
0.008	0.1	0.008	21.6	8.9	0.008	30	0.009	30	0.013	30	0.019
0.009	0.1	0.009	19.5	7.9	0.009	30	0.009	30	0.013	30	0.019
0.01	0.1	0.01	17.8	7.2	0.01	28.3	0.01	30	0.013	30	0.019
0.011	0.1	0.011	16.3	6.5	0.011	25.3	0.011	30	0.013	30	0.019
0.012	0.1	0.012	15.1	6	0.012	23.3	0.012	30	0.013	30	0.019
0.013	0.1	0.013	14	5.6	0.013	21.8	0.013	30	0.013	30	0.019
0.014	0.1	0.014	13	5.2	0.014	20.5	0.014	29.3	0.014	30	0.019
0.015	0.1	0.015	12.2	4.8	0.015	19.4	0.015	26.3	0.015	30	0.019
0.016	0.1	0.016	11.4	4.5	0.016	18.4	0.016	24.6	0.016	30	0.019
0.017	0.1	0.017	10.8	4.3	0.017	17.5	0.017	23.4	0.017	30	0.019
0.018	0.1	0.018	10.2	4	0.018	16.7	0.018	22.3	0.018	30	0.019
0.019	0.1	0.019	9.7	3.8	0.019	15.9	0.019	21.4	0.019	30	0.019
0.02	0.1	0.02	9.2	3.6	0.02	15.1	0.02	20.6	0.02	27.4	0.02
0.021	0.1	0.021	8.8	3.5	0.021	14.4	0.021	19.8	0.021	25.4	0.021
0.022	0.1	0.022	8.4	3.3	0.022	13.7	0.022	19.2	0.022	24.2	0.022
0.023	0.1	0.023	8.1	3.2	0.023	13.1	0.023	18.5	0.023	23.3	0.023
0.024	0.1	0.024	7.7	3	0.024	12.5	0.024	17.9	0.024	22.5	0.024
0.025	0.1	0.025	7.4	2.9	0.025	12	0.025	17.3	0.025	21.8	0.025
0.026	0.1	0.026	7.2	2.8	0.026	11.6	0.026	16.8	0.026	21.2	0.026
0.027	0.1	0.027	6.9	2.7	0.027	11.2	0.027	16.2	0.027	20.7	0.027
0.028	0.1	0.028	6.7	2.6	0.028	10.8	0.028	15.6	0.028	20.2	0.028
0.029	0.1	0.029	6.4	2.5	0.029	10.4	0.029	15	0.029	19.7	0.029
0.03	0.1	0.03	6.2	2.4	0.03	10.1	0.03	14.4	0.03	19.3	0.03
0.031	0.1	0.031	6	2.3	0.031	9.8	0.031	13.9	0.031	18.8	0.031
0.032	0.1	0.032	5.8	2.3	0.032	9.5	0.032	13.4	0.032	18.4	0.032
0.033	0.1	0.033	5.7	2.2	0.033	9.2	0.033	12.9	0.033	17.9	0.033
0.034	0.1	0.034	5.5	2.1	0.034	8.9	0.034	12.5	0.034	17.5	0.034
0.035	0.1	0.035	5.3	2.1	0.035	8.7	0.035	12.1	0.035	17	0.035
0.036	0.1	0.036	5.2	2	0.036	8.4	0.036	11.8	0.036	16.6	0.036
0.037	0.1	0.037	5.1	2	0.037	8.2	0.037	11.5	0.037	16.1	0.037
0.038	0.1	0.038	4.9	1.9	0.038	8	0.038	11.2	0.038	15.5	0.038
0.039	0.1	0.039	4.8	1.9	0.039	7.8	0.039	10.9	0.039	14.9	0.039
0.04	0.1	0.04	4.7	1.8	0.04	7.6	0.04	10.6	0.04	14.4	0.04
0.041	0.1	0.041	4.6	1.8	0.041	7.4	0.041	10.4	0.041	13.8	0.041
0.042	0.1	0.042	4.5	1.7	0.042	7.2	0.042	10.1	0.042	13.4	0.042
0.043	0.1	0.043	4.4	1.7	0.043	7.1	0.043	9.9	0.043	13	0.043
0.044	0.1	0.044	4.3	1.6	0.044	6.9	0.044	9.7	0.044	12.7	0.044
0.045	0.1	0.045	4.2	1.6	0.045	6.8	0.045	9.5	0.045	12.4	0.045
0.046	0.1	0.046	4.1	1.6	0.046	6.6	0.046	9.3	0.046	12.1	0.046
