Delay_95	Impact_95	Delay_90	Impact_90	Delay_85	Impact_85	Delay_80	Impact_80	Delay_75	Impact_75	Delay_70	Impact_70
21.9	0.001	20.8	0.001	19.2	0.001	16.9	0.001	13.1	0.001	6.5	0.001
21.7	0.002	20.6	0.002	19	0.002	16.6	0.002	12.6	0.002	6	0.002
21.6	0.003	20.5	0.003	18.8	0.003	16.2	0.003	12	0.003	5.6	0.003
21.5	0.004	20.3	0.004	18.6	0.004	15.8	0.004	11.5	0.004	5.2	0.004
21.4	0.005	20.1	0.005	18.3	0.005	15.4	0.005	11	0.005	4.9	0.005
21.2	0.006	20	0.006	18.1	0.006	14.9	0.006	10.5	0.006	4.6	0.006
21.1	0.007	19.8	0.007	17.8	0.007	14.3	0.007	10.1	0.007	4.3	0.007
21	0.008	19.6	0.008	17.5	0.008	13.8	0.008	9.6	0.008	4.1	0.008
20.8	0.009	19.4	0.009	17.2	0.009	13.3	0.009	9.3	0.009	3.9	0.009
20.7	0.01	19.2	0.01	16.8	0.01	12.8	0.01	8.9	0.01	3.7	0.01
20.5	0.011	19	0.011	16.4	0.011	12.4	0.011	8.5	0.011	3.5	0.011
20.4	0.012	18.8	0.012	16	0.012	12	0.012	8.2	0.012	3.3	0.012
20.2	0.013	18.5	0.013	15.4	0.013	11.6	0.013	7.9	0.013	3.2	0.013
20.1	0.014	18.3	0.014	14.7	0.014	11.2	0.014	7.6	0.014	3.1	0.014
19.9	0.015	18	0.015	14.1	0.015	10.9	0.015	7.4	0.015	2.9	0.015
19.7	0.016	17.7	0.016	13.6	0.016	10.6	0.016	7.1	0.016	2.8	0.016
19.5	0.017	17.3	0.017	13.1	0.017	10.3	0.017	6.9	0.017	2.7	0.017
19.3	0.018	16.9	0.018	12.7	0.018	10	0.018	6.7	0.018	2.6	0.018
19.1	0.019	16.4	0.019	12.4	0.019	9.7	0.019	6.5	0.019	2.5	0.019
18.9	0.02	15.7	0.02	12.1	0.02	9.5	0.02	6.3	0.02	2.4	0.02
18.6	0.021	14.6	0.021	11.8	0.021	9.2	0.021	6.1	0.021	2.4	0.021
18.4	0.022	13.9	0.022	11.5	0.022	9	0.022	5.9	0.022	2.3	0.022
18.1	0.023	13.5	0.023	11.3	0.023	8.8	0.023	5.7	0.023	2.2	0.023
17.7	0.024	13.1	0.024	11	0.024	8.5	0.024	5.6	0.024	2.1	0.024
17.3	0.025	12.8	0.025	10.8	0.025	8.3	0.025	5.4	0.025	2.1	0.025
16.7	0.026	12.5	0.026	10.6	0.026	8.1	0.026	5.3	0.026	2	0.026
